,average_daily_exits
RM,3439.7
EN,6085.7
EP,3717.1
NB,3253.0333333333333
BK,8545.566666666668
AS,3877.6
MA,7059.166666666667
19,10472.166666666666
12,10717.966666666667
LM,5341.3
FV,6015.0
CL,3452.3333333333335
SL,4677.866666666667
BF,4152.7
HY,3434.3
SH,2211.866666666667
UC,3326.3
FM,4144.366666666667
CN,4170.333333333333
PH,5682.1
WC,5049.433333333333
LF,2714.3333333333335
OR,2204.7
RR,4375.9
OW,5659.766666666666
EM,35934.96666666667
MT,33522.833333333336
PL,20590.7
CC,17718.7
16,10539.8
24,9898.0
GP,5689.166666666667
BP,7873.466666666666
DC,6918.966666666666
CM,3299.366666666667
CV,2089.0333333333333
ED,6047.133333333333
NC,1373.9333333333334
WP,2859.7
SS,2602.0666666666666
SB,2795.1666666666665
SO,4304.133333333333
MB,4473.7
WD,2667.9333333333334
OA,807.8666666666667
WS,3164.5333333333333
ML,0.0
BE,0.0
PC,857.9
AN,2150.5333333333333
